Site,Species,Hunted,site.sp
CAX,Leopardus pardalis,No,Leopardus pardalis-CAX
CAX,Leopardus wiedii,No,Leopardus wiedii-CAX
CAX,Mazama americana,Yes,Mazama americana-CAX
CAX,Mazama nemorivaga,Yes,Mazama nemorivaga-CAX
CAX,Metachirus nudicaudatus,No,Metachirus nudicaudatus-CAX
CAX,Mitu tuberosum,Yes,Mitu tuberosum-CAX
CAX,Myrmecophaga tridactyla,Yes,Myrmecophaga tridactyla-CAX
CAX,Nasua nasua,Yes,Nasua nasua-CAX
CAX,Panthera onca,No,Panthera onca-CAX
CAX,Pecari tajacu,Yes,Pecari tajacu-CAX
CAX,Penelope pileata,Yes,Penelope pileata-CAX
CAX,Penelope superciliaris,Yes,Penelope superciliaris-CAX
CAX,Priodontes maximus,No,Priodontes maximus-CAX
CAX,Psophia viridis,Yes,Psophia viridis-CAX
CAX,Puma concolor,No,Puma concolor-CAX
CAX,Puma yagouaroundi,No,Puma yagouaroundi-CAX
CAX,Tamandua tetradactyla,Yes,Tamandua tetradactyla-CAX
CAX,Tapirus terrestris,Yes,Tapirus terrestris-CAX
CAX,Tayassu pecari,Yes,Tayassu pecari-CAX
CAX,Tinamus guttatus,Yes,Tinamus guttatus-CAX
CAX,Tinamus major,Yes,Tinamus major-CAX
CAX,Tinamus tao,Yes,Tinamus tao-CAX
COU,Aramides cajaneus,No,Aramides cajaneus-COU
COU,Atelocynus microtis,No,Atelocynus microtis-COU
COU,Crypturellus bartletti,No,Crypturellus bartletti-COU
COU,Crypturellus cinereus,No,Crypturellus cinereus-COU
COU,Crypturellus soui,No,Crypturellus soui-COU
COU,Crypturellus undulatus,No,Crypturellus undulatus-COU
COU,Crypturellus variegatus,No,Crypturellus variegatus-COU
COU,Cuniculus paca,No,Cuniculus paca-COU
COU,Dasyprocta punctata,No,Dasyprocta punctata-COU
COU,Dasypus kappleri,No,Dasypus kappleri-COU
COU,Dasypus novemcinctus,No,Dasypus novemcinctus-COU
COU,Didelphis marsupialis,No,Didelphis marsupialis-COU
