Site,Species,Hunted,site.sp
YAS,Dasypus kappleri,Unknown,Dasypus kappleri-YAS
YAS,Dasypus novemcinctus,Unknown,Dasypus novemcinctus-YAS
YAS,Didelphis marsupialis,Unknown,Didelphis marsupialis-YAS
YAS,Eira barbara,Unknown,Eira barbara-YAS
YAS,Galictis vittata,Unknown,Galictis vittata-YAS
YAS,Geotrygon montana,Unknown,Geotrygon montana-YAS
YAS,Leopardus pardalis,Yes,Leopardus pardalis-YAS
YAS,Leopardus wiedii,Yes,Leopardus wiedii-YAS
YAS,Leptotila rufaxilla,Yes,Leptotila rufaxilla-YAS
YAS,Mazama americana,Yes,Mazama americana-YAS
YAS,Mazama nemorivaga,Yes,Mazama nemorivaga-YAS
YAS,Metachirus nudicaudatus,Unknown,Metachirus nudicaudatus-YAS
YAS,Mitu salvini,Yes,Mitu salvini-YAS
YAS,Myoprocta pratti,Yes,Myoprocta pratti-YAS
YAS,Myrmecophaga tridactyla,Yes,Myrmecophaga tridactyla-YAS
YAS,Nasua nasua,Yes,Nasua nasua-YAS
YAS,Neomorphus geoffroyi,Unknown,Neomorphus geoffroyi-YAS
YAS,Nothocrax urumutum,Yes,Nothocrax urumutum-YAS
YAS,Odontophorus gujanensis,Yes,Odontophorus gujanensis-YAS
YAS,Panthera onca,Yes,Panthera onca-YAS
YAS,Pecari tajacu,Yes,Pecari tajacu-YAS
YAS,Penelope jacquacu,Yes,Penelope jacquacu-YAS
YAS,Philander andersoni,Unknown,Philander andersoni-YAS
YAS,Priodontes maximus,Yes,Priodontes maximus-YAS
YAS,Procyon cancrivorus,Unknown,Procyon cancrivorus-YAS
YAS,Psophia crepitans,Yes,Psophia crepitans-YAS
YAS,Puma concolor,Yes,Puma concolor-YAS
YAS,Puma yagouaroundi,Unknown,Puma yagouaroundi-YAS
YAS,Sciurus igniventris ,Yes,Sciurus igniventris -YAS
YAS,Speothos venaticus,Unknown,Speothos venaticus-YAS
YAS,Sylvilagus brasiliensis,Unknown,Sylvilagus brasiliensis-YAS
YAS,Tamandua tetradactyla,Unknown,Tamandua tetradactyla-YAS
YAS,Tapirus terrestris,Yes,Tapirus terrestris-YAS
YAS,Tayassu pecari,Yes,Tayassu pecari-YAS
YAS,Tinamus guttatus,Unknown,Tinamus guttatus-YAS
YAS,Tinamus major,Yes,Tinamus major-YAS
YAN,Cuniculus paca,No,Cuniculus paca-YAN
YAN,Dasyprocta fuliginosa,No,Dasyprocta fuliginosa-YAN
YAN,Dasypus kappleri,No,Dasypus kappleri-YAN
YAN,Dasypus novemcinctus,No,Dasypus novemcinctus-YAN
YAN,Didelphis marsupialis,No,Didelphis marsupialis-YAN
YAN,Eira barbara,No,Eira barbara-YAN
YAN,Geotrygon frenata,No,Geotrygon frenata-YAN
YAN,Leopardus pardalis,No,Leopardus pardalis-YAN
YAN,Leopardus wiedii,No,Leopardus wiedii-YAN
YAN,Mazama americana,No,Mazama americana-YAN
YAN,Metachirus nudicaudatus,No,Metachirus nudicaudatus-YAN
YAN,Mitu tuberosum,No,Mitu tuberosum-YAN
YAN,Myrmecophaga tridactyla,No,Myrmecophaga tridactyla-YAN
YAN,Nasua nasua,No,Nasua nasua-YAN
YAN,Neomorphus geoffroyi,No,Neomorphus geoffroyi-YAN
YAN,Panthera onca,No,Panthera onca-YAN
YAN,Pecari tajacu,No,Pecari tajacu-YAN
YAN,Penelope jacquacu,No,Penelope jacquacu-YAN
YAN,Procyon cancrivorus,No,Procyon cancrivorus-YAN
YAN,Puma concolor,No,Puma concolor-YAN
YAN,Puma yagouaroundi,No,Puma yagouaroundi-YAN
YAN,Sciurus spadiceus,No,Sciurus spadiceus-YAN
YAN,Tamandua tetradactyla,No,Tamandua tetradactyla-YAN
YAN,Tapirus terrestris,No,Tapirus terrestris-YAN
YAN,Tinamus guttatus,No,Tinamus guttatus-YAN
YAN,Tinamus major,No,Tinamus major-YAN
YAN,Tinamus tao,No,Tinamus tao-YAN
YAN,Tremarctos ornatus,No,Tremarctos ornatus-YAN
