Site.Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
BBS,3,1,2,3,2,2,2,0.5
BCI,2,2,4,4,4,4,2,3
BCI-Soberania,3,1,1,3,2,1,2,3
BIF,2,2,2,4,2,2,3,5
CAX,3,3,2,3,3,3,2,3
COU,1,5,4,3,3,4,3,4
CSN,2,3,1,2,2,1,2,2
KRP,3,1,1,3,1,2,3,3
NAK,2,3,2,2,3,2,3,4
NNN,1,5,4,4,4,4,2,2
PSH,3,2,1,1,1,1,2,1
RNF,2,4,3,3,2,3,2,4
UDZ,3,2,3,3,3,3,2,6
VB-BCNP,3,2,1,1,1,1,1,9
VB,2,4,3,3,4,3,3,9
YAN,1,5,4,4,4,4,2,4
YAS,3,1,1,3,1,2,2,0.5
