sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,ActivityCycle,AdultBodyMass_g,DietBreadth,LitterSize,TrophicLevel,GR_Area_km2,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,protection,poaching
Agelastes niger,KRP,-1.203972804,decreasing,decreasing,AF,LC,1150,AVES,Omnivore,Agelastes niger.Korup National Park,2,NA,NA,NA,NA,NA,NA,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Agelastes niger,NNN,-0.107354295,stable,stable,AF,LC,1150,AVES,Omnivore,Agelastes niger.Nouabalͩ Ndoki,4,NA,NA,NA,NA,NA,NA,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Aplopelia larvata,UDZ,0.198828828,increasing,increasing,AF,LC,116,AVES,Herbivore,Aplopelia larvata.Udzungwa,5,NA,NA,NA,NA,NA,NA,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Aramides cajaneus,BCI,-0.68601289,stable,decreasing,LA,LC,397,AVES,Omnivore,Aramides cajaneus.Barro Colorado Nature Monument - Soberania National Park,4,NA,NA,NA,NA,NA,NA,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Aramides cajaneus,CSN,-0.260621318,stable,stable,LA,LC,397,AVES,Omnivore,Aramides cajaneus.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Aramides cajaneus,COU,0.628073902,increasing,increasing,LA,LC,397,AVES,Omnivore,Aramides cajaneus.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Arborophila chloropus,NAK,0.423216072,stable,stable,AS,LC,270,AVES,,Arborophila chloropus.Nam Kading,4,NA,NA,NA,NA,NA,NA,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Arctictis binturong,BBS,-0.13571061,stable,stable,AS,VU,13000,MAMMALIA,Carnivore,Arctictis binturong.Bukit Barisan,4,1,12999.99,3,2.5,1,2913838.88,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Arctictis binturong,NAK,0.332686958,stable,increasing,AS,VU,13000,MAMMALIA,Carnivore,Arctictis binturong.Nam Kading,4,1,12999.99,3,2.5,1,2913838.88,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Arctictis binturong,PSH,-0.392891191,stable,stable,AS,VU,13000,MAMMALIA,Carnivore,Arctictis binturong.Pasoh Forest Reserve,3,1,12999.99,3,2.5,1,2913838.88,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Arctonyx collaris,NAK,0.139244179,stable,stable,AS,NT,6356,MAMMALIA,Carnivore,Arctonyx collaris.Nam Kading,4,1,8166.52,6,3,2,4519063.86,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Argusianus argus,BBS,0.08707543,stable,stable,AS,NT,2380,AVES,Omnivore,Argusianus argus.Bukit Barisan,4,NA,NA,NA,NA,NA,NA,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Argusianus argus,PSH,0.124645337,stable,stable,AS,NT,2380,AVES,Omnivore,Argusianus argus.Pasoh Forest Reserve,3,NA,NA,NA,NA,NA,NA,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Atelocynus microtis,CAX,-0.392891191,stable,stable,LA,NT,7750,MAMMALIA,Carnivore,Atelocynus microtis.Caxiuanͣ,3,NA,8363.22,1,NA,3,7634256.6,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Atelocynus microtis,COU,-0.867987174,decreasing,decreasing,LA,NT,7750,MAMMALIA,Carnivore,Atelocynus microtis.Cocha Cashu - Manu National Park,3,NA,8363.22,1,NA,3,7634256.6,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Atelocynus microtis,YAS,0.211209622,stable,stable,LA,NT,7750,MAMMALIA,Carnivore,Atelocynus microtis.Yasuni,3,NA,8363.22,1,NA,3,7634256.6,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Atherurus africanus,BIF,-0.66917643,decreasing,decreasing,AF,LC,1934,MAMMALIA,Omnivore,Atherurus africanus.Bwindi Impenetrable Forest,4,1,2875.65,5,1.5,2,5140711.56,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Atherurus africanus,KRP,1.83E-16,stable,stable,AF,LC,1934,MAMMALIA,Omnivore,Atherurus africanus.Korup National Park,2,1,2875.65,5,1.5,2,5140711.56,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Atherurus africanus,NNN,-0.111371141,stable,decreasing,AF,LC,1934,MAMMALIA,Omnivore,Atherurus africanus.Nouabalͩ Ndoki,4,1,2875.65,5,1.5,2,5140711.56,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Atherurus macrourus,NAK,0.021068142,stable,stable,AS,LC,2000,MAMMALIA,Omnivore,Atherurus macrourus.Nam Kading,4,1,2000,5,1.5,2,2597040.51,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Atherurus macrourus,PSH,0.387111274,stable,increasing,AS,LC,2000,MAMMALIA,Omnivore,Atherurus macrourus.Pasoh Forest Reserve,3,1,2000,5,1.5,2,2597040.51,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Atilax paludinosus,BIF,-0.789438901,stable,stable,AF,LC,3300,MAMMALIA,Carnivore,Atilax paludinosus.Bwindi Impenetrable Forest,4,2,3600.16,6,2,2,14296320.45,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Atilax paludinosus,NNN,0.579922641,increasing,increasing,AF,LC,3300,MAMMALIA,Carnivore,Atilax paludinosus.Nouabalͩ Ndoki,4,2,3600.16,6,2,2,14296320.45,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Atilax paludinosus,UDZ,0.098660331,stable,stable,AF,LC,3300,MAMMALIA,Carnivore,Atilax paludinosus.Udzungwa,5,2,3600.16,6,2,2,14296320.45,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Baryphthengus martii,YAS,5.45E-16,stable,stable,LA,LC,195,AVES,Omnivore,Baryphthengus martii.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Bdeogale crassicauda,UDZ,0.016380681,stable,stable,AF,LC,1550,MAMMALIA,Carnivore,Bdeogale crassicauda.Udzungwa,5,1,1722.13,1,0.96,3,1654322.83,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Bdeogale nigripes,KRP,-6.50E-16,stable,stable,AF,LC,2500,MAMMALIA,Carnivore,Bdeogale nigripes.Korup National Park,2,1,2623.01,6,1,2,3117248.8,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Bdeogale nigripes,NNN,0.167979792,stable,increasing,AF,LC,2500,MAMMALIA,Carnivore,Bdeogale nigripes.Nouabalͩ Ndoki,4,1,2623.01,6,1,2,3117248.8,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Brachypteracias squamiger,RNF,3.70E-16,stable,stable,AF,VU,170,AVES,Insectivore,Brachypteracias squamiger.Ranomafana,3,NA,NA,NA,NA,NA,NA,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
